Using replay: C:\Users\matae\OneDrive\Desktop\Coding-Projects\local-play-bootstrap-main\replays\match_4184936.SC2Replay

Map: Persephone AIE
Duration: 8886 loops

Calling controller.data_raw()...
Total UnitTypeData entries: 2005

================================================================================
ALL UNIT TYPES WITH ATTRIBUTES
================================================================================
    ID  Name                                      Attributes
--------------------------------------------------------------------------------
     2  Ball                                      Biological
     4  Colossus                                  Armored, Mechanical, Massive
     5  TechLab                                   Armored, Mechanical, Structure [STRUCTURE]
     6  Reactor                                   Armored, Mechanical, Structure [STRUCTURE]
     7  InfestorTerran                            Light, Biological
     8  BanelingCocoon                            Biological
     9  Baneling                                  Biological
    10  Mothership                                Armored, Mechanical, Psionic, Massive, Heroic
    11  PointDefenseDrone                         Light, Mechanical, Structure [STRUCTURE]
    12  Changeling                                Light, Biological
    13  ChangelingZealot                          Light, Biological
    14  ChangelingMarineShield                    Light, Biological
    15  ChangelingMarine                          Light, Biological
    16  ChangelingZerglingWings                   Light, Biological
    17  ChangelingZergling                        Light, Biological
    18  CommandCenter                             Armored, Mechanical, Structure [STRUCTURE]
    19  SupplyDepot                               Armored, Mechanical, Structure [STRUCTURE]
    20  Refinery                                  Armored, Mechanical, Structure [STRUCTURE]
    21  Barracks                                  Armored, Mechanical, Structure [STRUCTURE]
    22  EngineeringBay                            Armored, Mechanical, Structure [STRUCTURE]
    23  MissileTurret                             Armored, Mechanical, Structure [STRUCTURE]
    24  Bunker                                    Armored, Mechanical, Structure [STRUCTURE]
    25  SensorTower                               Armored, Mechanical, Structure [STRUCTURE]
    26  GhostAcademy                              Armored, Mechanical, Structure [STRUCTURE]
    27  Factory                                   Armored, Mechanical, Structure [STRUCTURE]
    28  Starport                                  Armored, Mechanical, Structure [STRUCTURE]
    29  Armory                                    Armored, Mechanical, Structure [STRUCTURE]
    30  FusionCore                                Armored, Mechanical, Structure [STRUCTURE]
    31  AutoTurret                                Armored, Mechanical, Structure [STRUCTURE]
    32  SiegeTankSieged                           Armored, Mechanical
    33  SiegeTank                                 Armored, Mechanical
    34  VikingAssault                             Armored, Mechanical
    35  VikingFighter                             Armored, Mechanical
    36  CommandCenterFlying                       Armored, Mechanical, Structure [STRUCTURE]
    37  BarracksTechLab                           Armored, Mechanical, Structure [STRUCTURE]
    38  BarracksReactor                           Armored, Mechanical, Structure [STRUCTURE]
    39  FactoryTechLab                            Armored, Mechanical, Structure [STRUCTURE]
    40  FactoryReactor                            Armored, Mechanical, Structure [STRUCTURE]
    41  StarportTechLab                           Armored, Mechanical, Structure [STRUCTURE]
    42  StarportReactor                           Armored, Mechanical, Structure [STRUCTURE]
    43  FactoryFlying                             Armored, Mechanical, Structure [STRUCTURE]
    44  StarportFlying                            Armored, Mechanical, Structure [STRUCTURE]
    45  SCV                                       Light, Biological, Mechanical
    46  BarracksFlying                            Armored, Mechanical, Structure [STRUCTURE]
    47  SupplyDepotLowered                        Armored, Mechanical, Structure [STRUCTURE]
    48  Marine                                    Light, Biological
    49  Reaper                                    Light, Biological
    50  Ghost                                     Biological, Psionic
    51  Marauder                                  Armored, Biological
    52  Thor                                      Armored, Mechanical, Massive
    53  Hellion                                   Light, Mechanical
    54  Medivac                                   Armored, Mechanical
    55  Banshee                                   Light, Mechanical
    56  Raven                                     Light, Mechanical
    57  Battlecruiser                             Armored, Mechanical, Massive
    59  Nexus                                     Armored, Structure [STRUCTURE]
    60  Pylon                                     Armored, Structure [STRUCTURE]
    61  Assimilator                               Armored, Structure [STRUCTURE]
    62  Gateway                                   Armored, Structure [STRUCTURE]
    63  Forge                                     Armored, Structure [STRUCTURE]
    64  FleetBeacon                               Armored, Structure [STRUCTURE]
    65  TwilightCouncil                           Armored, Structure [STRUCTURE]
    66  PhotonCannon                              Armored, Structure [STRUCTURE]
    67  Stargate                                  Armored, Structure [STRUCTURE]
    68  TemplarArchive                            Armored, Structure [STRUCTURE]
